group,id,project,individual_sheet_phase,decision_point,sheet_step_number,group_sheet_phase,group_sheet_decision_point,group_sheet_similar,group_sheet_item_id
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,"Learn what the questions were originally and what was done, including and constraints with the data. ",1,problem_formulation-1,Understand context (previously defined),GS-1,6
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,"Understand the data: how many samples, how arranged, replication, variation, covariates. Includes some data summary figures / tables. Discuss with data collectors.",2,NA,NA,NA,NA
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,Design an analysis approach to test . Evaluate the original question that the data are able to support. Discuss with data collectors.,4,NA,NA,NA,NA
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,Some data summaries are valuable research components that give important information to audience on their own without any statistical process. Select these and determine best visual option.,3,NA,NA,NA,NA
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,"Conduct analysis, including confirming correct assumptions are met and then evaluate model fit or performance.",5,NA,NA,NA,NA
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,"If model is suitable and performed well, then proceed with extracting required model outputs for the paper. If model is unsuitable for some reason. -> 7.",6,NA,NA,NA,NA
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,Model was unsuitable so need to try something else that will accomodate the data / questions better. Re-do step 6.,7,NA,NA,NA,NA
MDA,2,Evaluating microclimates of tree hollows. The aim was to measure temp and humidity in natural and artificial hollows and compare them to evaluate habitat suitability. I was involved in the data analysis part after data collection.,NA,Check final with someone.,8,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Describe the conceptual framework (biological mechanisms),1,problem_formulation-1,Understand context (previously defined),GS-1,7
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Identify variables relevant to the conceptual framework.,2,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,"Write a draft statistical analysis plan, identify likely analyses / approach to undertake + key features / outputs + tables.",3,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,"Data importing, cleaning + query any.",4,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,"For each analysis, graph the relationship of each ?predictor marginally & then look at interactions.",5,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Perform statistical model in SAP (statistical analysis plan).,6,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Assess statistiacl model for fit and assumptions,7,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,"Revise statistical model based on violations to assumptions, misfit",8,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Perform model comparison of key flow metrics,9,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Graphical representat results,10,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Revise method to reflect actual model used,11,NA,NA,NA,NA
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,Write up results & Discuss with client,12,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",NA,"Defining key evaluation and research questions. Evaluation questions relate to evaluating responses to e-water, research questions to understanding how and why things vary.",1,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",NA,Conceptual model being developed to outline predictions -> Justify inclusion / exclusion of predictors and covariates. Capture ecologiacl understanding about systems.,2,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",NA,Statistical analysis plan deeloped. -> Outline techniques to be used to answer different questions -> Limitations / constraints of data.,4,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",NA,"Steps 1 & 2 used to develop project plan. Note this doesn't include analysis but has basis on deliverables. E.g. # replicate sites, etc.",3,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",NA,Preliminary exploration of data to inform analysis - Distribution of variables etc. to guide analysis,5,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",NA,Analysis - evaluation of models assumptions etc.,6,NA,NA,NA,NA
MDA,4,"VEFMAP is a project looking at ecological responses to watering wetlands. Data is being collected @20 - 30 wetlands for frogs, fish, bird & vegetation. Focus here is on the frogs component -20 sites are being sampled, some that will receive e-water, some dry controls & other sites for comparison.",6,Evaluation of evidence in light of REQs,7,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process. (phase 1),1,What decisions / actions does the manager / client need to make?,1,problem_formulation-1,Consider manager needs,GS-8,8
MDA,5,Supplying a quantitative model to support a manager's decision making process.,2,What variables will support this decision / action? (Things we can control),2,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,2,What additional variables may interact in this system? (Things we can't control but hopefully measure),3,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,2,In what ways do we expect these variables to interact? (Model structures),4,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,3,Are there logistical or feasibility constraints?,5,define_conceptual_model-2,What are the logistical or feasibility constraints?,"5-6, GS-26, GS-22",15
MDA,5,Supplying a quantitative model to support a manager's decision making process.,3,What quantitative methods will we use to build models? Ensure they are relevant to client purpose.,6,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,How will we assess the quality / goodness of fit of the models?,7,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,"If needed, how will we choose a preferred model or composite model?",8,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,How will we identify which model components are significant / meaningful?,9,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,"What is the gap between this model conception and the real-world problem, & what biases might this introduce?",10,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,How are uncertainty & variation represented in this model?,11,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,What is the risk attitude within this management system?,12,NA,NA,NA,NA
MDA,5,Supplying a quantitative model to support a manager's decision making process.,NA,What advice / support can we offer to the manager / decision-maker based on our findings?,13,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,"Definitions - ""Waterway"", ""Health"", ""Deteriation"".",1,problem_formulation-1,Definition of research question / problem objective,GS-8,3
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Determine spatial and temporal scales required.,1,problem_formulation-1,Definition of scale,NA,4
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,NA,NA,problem_formulation-1,Expectation management (difference between applied science & science),GS-8,5
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,"Develop conceptual model linking ""waterway health"" and ""deterioration"" to natural variability in waterway health etc.",2,problem_formulation-1,Vagaries in problem definition can influence model. Scientist or Client needs to define.,NA,13
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,"Identify possible indicators (and their individual notions of ""deterioration"")",4,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,trawl for data,4,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Build statewide dataset,4,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Build feasible statistical models,5,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Run models for all inidcators (in all river basins),6,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,"Idenity broad statistical model structure, including specification for tests of ""deterioration"" and ""re?? Related to flow"".",3,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,"Extract specific tests on ""deterioration"" and ""rec? related to flow""",7,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Provide synthesis at higher level than every riser basin x indicator combinatino,8,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Identify key outliers especially strongest examples of deterioration,9,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Consult a range of stakeholders through a series of workshops,10,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,write draft report,11,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Be subject to a year by an independent review panel - additional analysis + writing results,12,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Complete report,13,NA,NA,NA,NA
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,Ministerial sign-off,14,NA,NA,NA,NA
MDA,7,"Woodland Modelling - Can we generalise woodland models across different EVC's, and spatial regions. - Where do we need to generalise, where do we need to specify. Eliciting Conceptual models. State and Transition models. Model development (no data for comparison available).",NA,"Variable selection within expert groups. 3x a priori woodland types. Floodplains, grassy woodland, obligate seeders. Question: do these states occur in your geographic area of expertise? Do these transitions occur?",1,problem_formulation-1,Previously Defined,GS-1,1
MDA,7,"Woodland Modelling - Can we generalise woodland models across different EVC's, and spatial regions. - Where do we need to generalise, where do we need to specify. Eliciting Conceptual models. State and Transition models. Model development (no data for comparison available).",NA,"Collating transition models - by group, by area. Counts of number of times transition + state occurred across models. Reconvene as a group.",2,NA,NA,NA,NA
MDA,7,"Woodland Modelling - Can we generalise woodland models across different EVC's, and spatial regions. - Where do we need to generalise, where do we need to specify. Eliciting Conceptual models. State and Transition models. Model development (no data for comparison available).",NA,"Transition by type analysis - graphical analysis. For each transiiton, what was its distribution across functioal types? Proportion of people's STM's in which the transition occurred. How likely is the transition (elicited) -> average.",3,NA,NA,NA,NA
MDA,7,"Woodland Modelling - Can we generalise woodland models across different EVC's, and spatial regions. - Where do we need to generalise, where do we need to specify. Eliciting Conceptual models. State and Transition models. Model development (no data for comparison available).",NA,"States by Type analysis. Again, look at the proportion of ppl's models in which this occurred. How likely is the state (elicit): sum + average.",4,NA,NA,NA,NA
MDA,7,"Woodland Modelling - Can we generalise woodland models across different EVC's, and spatial regions. - Where do we need to generalise, where do we need to specify. Eliciting Conceptual models. State and Transition models. Model development (no data for comparison available).",NA,Discretising / threshold x state and transition. If below 50% then discount. -> But remember there was an issue about how we leicited the (verbal probabilities) & what they meant.,5,NA,NA,NA,NA
MDA,NA,NA,NA,NA,NA,define_conceptual_model-2,Everyone had this as a key step (except 2),NA,12
MDA,5,Supplying a quantitative model to support a manager's decision making process. (phase 1),NA,NA,NA,define_conceptual_model-2,"Conceptual model in 3 parts: controllable variables, uncontrollable variables, variables that interact.","5-1,2,3",11
MDA,NA,NA,NA,NA,NA,define_conceptual_model-2,"Often described in different ways: pictures, words, etc.",NA,10
MDA,NA,NA,NA,NA,NA,define_conceptual_model-2,Should be / is often done in conjunction with client / manager / user,NA,14
MDA,NA,NA,NA,NA,NA,define_conceptual_model-2,iterative links between problem formulation phase and define conceptual model,NA,16
MDA,NA,NA,NA,NA,NA,formalise_specify_model-3,"Applies to phase description: ""model"" can capture many different types of models: statistical, conceptual, probability, SDM",NA,17
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,NA,NA,formalise_specify_model-3,"Applies to phase description: How detailed does this need to be? There are HEAPS of small steps and decisions, do all need to be detailed?",NA,18
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,NA,NA,formalise_specify_model-3,"Applies to phase description: Largely influenced by school of thinking, what you like, what you know / are used to, what client wants",NA,19
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,NA,NA,formalise_specify_model-3,Applies to phase description: Registering decision trees versus describing plans (decision logic) explicitly? How much flexibility is good?,NA,20
MDA,3,Exploring the conceptual framework (biological mechanisms),NA,NA,NA,formalise_specify_model-3,Applies to phase description: Supplement is very useful to add side detail,NA,21
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,NA,NA,formalise_specify_model-3,Ensure that model framework correctly / appropriately addresses the original needs / objectives of the study,"5-6, GS-26",22
MDA,5,Supplying a quantitative model to support a manager's decision making process. (phase 1),NA,NA,NA,formalise_specify_model-3,Ensure that model framework (and data or metric) correctly / appropriately addresses the original needs / objectives of the study,"GS-22, 5-6",26
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,NA,NA,NA,formalise_specify_model-3,performance metric needs to be sensitive to the problem,NA,23
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,NA,NA,NA,formalise_specify_model-3,expert has more / different expectations from models than non-expert,NA,24
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,NA,NA,formalise_specify_model-3,3 levels of hypothesis,NA,25
MDA,NA,NA,NA,NA,NA,model_fitting_checking-4,Questions - exploratory v confirmatory,NA,27
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,NA,NA,NA,model_validation_evaluation-5,Model validation not always possible e.g. PVA but can be interrogated,NA,28
MDA,6,Waterway health component of Victoria's inaugural long-term water resources assessment. Water Act 2006 amendments requires an assessment of whther there has been a deterioration in waterway health for res?? Related to flow.,NA,NA,NA,model_validation_evaluation-5,"""Laugh Test"" Does model fit needs of client / user? Is some form of validation?",NA,29
