"","phase","step","Name","Comment","response"
"26",3,1,"3.1-formalise_specify_model: choose model class, framework and approach","Describe what class or approach of model you will use and explain how the choice of model class was informed by the analytical objectives of the model. Modelling approaches lie on a spectrum from correlative or phenomenological to mechanistic or process-based  [@Yates2018]; where correlative models use mathematical functions fitted to data to describe underlying processes, and mechanistic models explicitly represent processes and details of component parts of a biological system that are expected to give rise to the data [@White2019a].",""
"27",3,2,"3.2.1-Explain how you will operationalise response variable(s)","Specify how you will operationalise response variables in the model. This should relate directly to the analytical and or management objectives specified during the problem formulation phase. Specifications could include:- qualitative change, such as a direction of change- the extent of a response- an extreme value- a trend- a long-term mean- a probability distribution- a spatial pattern- a time-series, or- the frequency, location, or probability of some event occuring.Provide a rationale for your choices, including why plausible alternatives were not chosen (Jakeman, 2006).",""
"28",3,2,"3.2.3-Choose model family","Specify which family of statistical distributions you will use in your model, and describe any transformations, or link functions. Justify your decision based on the purpose, objectives, prior knowledge and logistical constraints (Jakeman, 2006) specified in the problem formulation phase. Include in your rationalse for selection detail about which variables the model outputs are sensitive to, what aspects of their behaviour are important, and any associated spatial or temporal dimensions in sampling.",""
"29",3,2,"3.2.3-Choose model features","Specify which types of variables are covered in the model, and the nature of their treatment (e.g. lumped/distributed, linear/non-linear, stochastic/deterministic, Jakeman, 2006). Specify model structural features, including:- the functional form of interactions,- data structures- measures used to specify links, spatio temporal scales and processes as well as their interactions- any bins or discretisation of continuous variables",""
"30",3,3,"3.3-formalise_specify_model: choose how to find structure and parameters","Choice of methods for finding model structure and parameters “Jakeman, 2006""Structure Determination: structure may be knowledge supported or data-driven [@Boets:2015gl]. Data-driven structure algorithms could include supervised or unsupervised machine learning, and modellers could choose from algorithms including decision-tree, K-nearest neighbour, or cluster algorithms, [@Liu2018b], for example.Parameter Estimation: Expert-judgment [@Czembor2011], ….<>",""
"31",3,4,"3.4-Choose approach for identifying model structure and parameters","“The present step addresses the Iterative process of finding a suitable model structure and parameter values.”  [@Jakeman:2006ii]. I think that recent model refinement / taxonomy paper describes this step.Ensemble: single model, multi-model average [@Yates2018].“the complexity of interactions proposed for the model may be increased or reduced, according to the results of model testing).“Can some system descriptors, for instance dimensionality and processes, […] be aggregated to make the representation more efficient, worrying about only what dominates the response of the system at the scales of concern.” [@Jakeman:2006ii].",""
"32",3,5,"3.5-formalise_specify_model: choose estimation performance criteria and technique","Before calibrating the model to the data, the performance criteria on which the calibration is judged are chosen. These criteria and their underlying assumptions should reflect the desired properties of the parameter estimates / structure [@Jakeman:2006ii]. For example, modellers might seek that parameter estimates are robust to outliers, unbiased, and yield appropriate predictive performance. Modellers will need to consider whether the assumptions of the estimation technique yielding those desired criteria are appropriate to the problem at hand. For integrated or sub-divided models, other considerations might include choices about where to disaggregate the model for parameter estimation; e.g. spatial sectioning (streams into reaches) and temporal sectioning (piece-wise linear models) [@Jakeman:2006ii].    ",""
"33",3,6,"3.6-formalise_specify_model: specify formal model","Why should this be the last step?? Given that the preceding step\s apply to the act of fitting rather than to model specification (seemingly). Well, the way the model is specified is dictated by the previous choices.Once critical decisions have been made about the approach and method of model specification, specify formal model(s).",""
"34",3,7,"3.7-formalise_specify_model: Specify model assumptions and uncertainties","How to model assumptions and uncertainties differ from those in the conceptual model?",""
"35",4,0,"4.0-model_calibration_fitting_checking","Model Calibration, Model Fitting & Checking - this phase involves fitting the formally defined model to data. There are many implementatino techniques available to fit these models. Decisions must be made about how to partition the data into training and tests sets, if possible.Should assumption violation checks go in model checking, i.e. phase 4, or do these go in model validation and evaluation? Check the GMP literature on this.",""
"36",4,1,"4.1-model_calibration_fitting_checking: Choose model calibration and validation scheme","Internal or externalcross-validation may be implemented [@Yates2018]. Typically testing onindependent datasets is not possible for large and/or integrated models,especially when they are being used to generate anticipatory predictions beyondthe conditions on which they were calibrated [@Jakeman:2006ii]. Follow-updecisions, among others, include how many folds, and what method ofpartitioning should be used?",""
"37",4,2,"4.2-model_calibration_fitting_checking: choose performance criteria","Correlation score,coefficient of determination, specificity, sensitivity, AUC, ROC, etc.",""
"38",4,3,"4.3-model_calibration_fitting_checking: Implementation verification","“(1) Whether the computer codeimplementing the model has been thoroughly tested for programming errors, (2)whether the implemented model performs as indicated by the model description,and (3) how the software has been designed and documented to provide necessaryusability tools (interfaces, automation of experiments, etc.) and to facilitatefuture installation, modification, and maintenance.” [@Grimm:2014es]I think I had this separate from other model checking steps because in my mind checking step 1 has a distinct purpose from other model checking and diagnostic procedures. I think it’s probably just best to include a “model checking” step and to include ‘implementation verification’ as its own specific item in this group of items.",""
"39",4,4,"4.4-model_calibration_fitting_checking: model checking","Unclear to me how this differs from my description in implementation verification.Should assumption violation checks go in model checking, i.e. phase 4, or do these go in model validation and evaluation? Check the GMP literature on this.",""
"40",4,5,"4.5-model_calibration_fitting_checking: model fitting and calibration","So whilst this is a step in a modelling workflow, it doesn’t exactly make sense to include this as an item in the PRT itself. What we could put for this step, and for other similar steps that basically involve the implementation or inaction of all the preceding decisions in a phase, is to have a step in the template that allows users to state the results of the checking etc. and any resultant decisions. What will be done if the model fails… I don’t think that can be answered a-priori, so it’s likely that a pre-registration for models involves multiple time-stampsed versions. 1. Where All decisions are made assuming ideal outcomes, i.e. where all model tests and checking pass, and everything is straight forward - NO refinement of model is needed. 2. Where refinement of model is needed based on results of first round tests… Still don’t know how to capture this in a PRT. and whether it’s possible to have a “living preregistration” for models…. Does this just defeat the purpose of a preregistration?? Maybe we get users to add amendments if round 1 of checking or evaluation requires refinement. ",""
"41",5,0,"5.0-model_validation_evaluation","Model Validation & Evaluation - This phase consists of a suite of analyses that collectively inform the decision and whether and when a model is suitable to meet its intended purpose (Augusiak, Van den Brink and Grimm 2014). Errors in design and implementation of the model and their implication on the model output are assessed. Ideally independent data is used against the model outputs to assess whether the model output behaviour exhibits the required accuracy for the model’s intended purpose. The outcomes of these analyses build confidence in the model applications and increase understandingof model strengths and limitations.",""
"42",5,1,"5.1-model_validation_evaluation: model output verification","“(1) How well model output matches observations and (2) how much calibration and effects of environmental drivers were involved in obtaining good fits of model output and data.” This is just calibration right?Jakeman 2006.",""
"43",5,2,"5.2-model_validation_evaluation: model analysis","“(1) How sensitive model output is to changes in model parameters (sensitivity analysis), and (2) how well the emergence of model output has been understood.” [@Grimm:2014es].",""
"44",5,3,"5.3-model_validation_evaluation: model output corroboration","“How model predictions compare to independent data and patterns that were not used, and preferably not even known, while the model was developed, parameterized, and verified. By documenting model output corroboration, model users learn about evidence which, in addition to model output verification, indicates that the model is structurally realistic so that its predictions can be trusted to some degree.”This is what we typically call “validation”",""
"45",5,4,"5.4-model_validation_evaluation: choose metric and performance criteria","I think this should be shifted to problem formulation… where I originally had this item… described here as:""An a priori method or methods of evaluating and distinguishing the performance of scenario outcomes is necessary. The performance measures link back to the analytical objectives. Examples include descriptive statistic measures, such as a model in the top 10th percentile of worst conditions, satisficing measures, e.g. a minimum performance threshold for achieving a performance objective, regret measures, e.g. choosing a decision with minimum regret [@Moallemi2019].”Also… I think this description by Moallemi actually pertains to the model application part.. not the model evaluation part. Model evaluation is still answering the question “Do we have a useful/credible/feasible model""",""
"46",5,5,"5.5-model_validation_evaluation: evaluate model assumptions","What tests, analyses or visualisations will be performed to evaluate whether model assumptions have been violated? Violation of the theoretical and statistical assumptions of a particular model can lead to unreliable results (37, 134, 137, 138) for model interpretation, geographic predictions, and projections (38, 50). Demonstrating that no model assumptions were violated is a gold standard in modelling. In cases where a researcher tests assumptions and finds departures from them, it is necessary to assess the consequences on interpretation of the results. If violation of assumptions cannot be avoided, explicit exploration and discussion of consequences for the interpretation of results in the particular context in which they are being used represents the bronze standard (25, 50). Blindly using models without testing assumptions should be considered a deficient practice. ” [@Araujo2019]. What tests, analyses or visualisations will be performed to evaluate whether model assumptions have been violated?   ",""
"47",5,6,"5.6-model_validation_evaluation: evaluate model outputs","Test different aspects of the model, such as realism, generality and accuracy.   Ideally more than one performance measure is testedPerformance assessment might include a suite ofestimates, including tests of “accuracy, bias, calibration, discrimination,refinement, resolution, and skill (157)” [@Araujo2019].",""
"48",5,7,"5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis","“As regards what method should be used, our preference is for methods which are exploratory, model-independent, able to capture interactions and to treat a group of factors. A carefully performed un- certainty analysis, followed by sensitivity analysis, is an important in- gredient of the quality assurance of a model as well as a necessary condition for any model-based analysis or inference.” [@Saltelli2019].Uses of sensitivity analysis: “Sensitivity analysis is used for many purposes. Primarily it is used as a tool to quantify the contributions of model inputs, or sub-groups of inputs, to the uncertainty in the model output” … “In this uncertainty setting, typical objectives are to identify which input factors contribute the most to model uncertainty (“factor prioritisation”) so that further information might be collected about these parameters to reduce model uncertainty, or to identify factors which contribute very little and can potentially be !xed (“factor !xing”) (Saltelli and Tarantola, 2002).” … “Other applications that are not necessarily related to uncertainty are for example in engineering design, where “design sensitivity analysis” is used as a tool for structural optimisation (Allaire et al., 2004). Sensi- tivity analysis can also be used to better understand processes within models, and thereby, the natural systems on which they are based (Becker et al., 2011), or as a quality assurance tool: an unexpected strong dependence of the output upon an input deemed irrelevant might either illuminate the analyst on an unexpected feature of the system or reveal a conceptual or coding error.”“sensitivity analysis is “the study of how the un- certainty in the output of a model (numerical or otherwise) can be apportioned to di""erent sources of uncertainty in the model input” (Saltelli, 2002).” [@Saltelli2019].“uncertainty analysis (UA), which, as we de!ne it here, characterizes the uncertainty in model prediction, without identifying which assump- tions are primarily responsible.” [@Saltelli2019].“Characterising the output distribution – e.g. by constructing it em- pirically from the output data points, constitutes an uncertainty ana- lysis. The UA may also involve extracting summary statistics, such as the mean, median, and variance, from this distribution and possibly by assigning con!dence bounds, e.g. on the mean.Once this is done, the next step could be to use sensitivity analysis to assign this uncertainty to the input factors. Sensitivity analysis allows us to infer that, for example, “this factor alone is responsible for 70% of the uncertainty in the output”. “[@Saltelli2019].Item: What experiments (sensitivity analysis or simulation experiments) will you perform to increase understanding of the model …..",""
"49",6,0,"6.0-model_application","I think this phase might be missing some steps. Namely decisions about how we analyse the model output to answer our research question, how we might graph or plot the model output so that we can meaningfully analyse it and interpret it to answer our research questions / meet the modelling purpose?Liasing with experts, clients and stakeholders once the results from the modellign exercise have been synthesised.",""
"50",6,1,"6.1-model_application: choose performance criteria for scenario analysis","I think this phase might be missing some steps. Namely decisions about how we analyse the model output to answer our research question, how we might graph or plot the model output so that we can meaningfully analyse it and interpret it to answer our research questions / meet the modelling purpose?Liasing with experts, clients and stakeholders once the results from the modellign exercise have been synthesised.",""
"51",6,2,"6.2-model_application: expert / client / stakeholder evaluation","I think this phase might be missing some steps. Namely decisions about how we analyse the model output to answer our research question, how we might graph or plot the model output so that we can meaningfully analyse it and interpret it to answer our research questions / meet the modelling purpose?Liasing with experts, clients and stakeholders once the results from the modellign exercise have been synthesised.",""
"52",6,3,"6.3-model_application: Scenario analysis and simulation","I think this phase might be missing some steps. Namely decisions about how we analyse the model output to answer our research question, how we might graph or plot the model output so that we can meaningfully analyse it and interpret it to answer our research questions / meet the modelling purpose?Liasing with experts, clients and stakeholders once the results from the modellign exercise have been synthesised.",""
"53",NA,0,"data_exploration","I suspect this phase should go after defining the conceptual model and before formalising and specifying the full model quantitatively.BUT perhaps, this goes under the “PRIOR KNOWLEDGE< DATA SPECIFICATION AND EVALUATION” node… Se code comment.",""
"54",NA,0,"documentation_manuscript-7","For modellers and analysts working with stakeholders and clients etc, there is an extra step in here about reporting during the research.",""
